	(1)	(2)	(3)	(4)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount
				
group_2	23.55	2,782.54	853.58	515.86
	(1,283.76)	(1,872.60)	(1,184.63)	(1,187.60)
group_3	2,626.54**	6,343.80***	3,316.61***	2,834.12**
	(1,294.70)	(1,930.36)	(1,227.99)	(1,187.81)
female	3,490.21**	612.42	9.44	-1,123.76
	(1,385.19)	(1,737.44)	(1,315.02)	(1,359.20)
id_age	-78.87*	-110.85**	-60.75	-39.88
	(43.06)	(52.67)	(36.84)	(36.15)
max_primary	1,566.69	602.14	-1,144.77	-2,221.65
	(1,238.27)	(1,797.39)	(1,281.23)	(1,375.15)
income_hh_ppp	1.08***	1.48***	1.11***	1.00***
	(0.19)	(0.24)	(0.25)	(0.20)
farms_n	-6.02	-222.37	141.59	54.38
	(453.43)	(584.20)	(505.58)	(438.52)
land_size	44.88**	11.91	8.02*	25.14*
	(20.40)	(24.82)	(4.57)	(12.88)
residence_farm	659.94	2,174.81	448.86	554.22
	(1,165.70)	(1,593.52)	(1,619.64)	(1,176.38)
trust_people	192.21	445.26	284.93	250.13
	(639.85)	(544.35)	(537.11)	(501.92)
trust_townpeople	676.08	-841.42	58.92	-360.62
	(701.53)	(670.97)	(532.04)	(508.74)
trust_familiy	131.64	-62.83	-98.58	-601.10
	(383.39)	(465.86)	(357.17)	(439.03)
civicorg_d	-2,635.45*	-2,102.06	-2,293.38*	-2,032.99
	(1,410.48)	(1,285.34)	(1,216.55)	(1,236.50)
pruductiveorg_d	3,180.37**	6.79	1,726.31	534.81
	(1,493.04)	(1,976.46)	(1,319.60)	(1,356.37)
polspace	127.22	1,552.89**	459.11	127.12
	(566.34)	(683.05)	(522.97)	(527.54)
never_collective	-973.82	2,226.86	874.45	1,290.71
	(1,130.21)	(1,530.37)	(1,128.96)	(1,123.42)
tropenbos_d	904.07	3,007.62	2,658.26	3,320.60**
	(2,095.95)	(1,819.56)	(2,086.73)	(1,601.43)
gaia_d	2,563.09	1,802.66	2,006.13	1,473.58
	(1,669.90)	(2,462.52)	(1,628.22)	(1,601.89)
omacha_d	4,954.94*	3,458.73	2,602.75	2,022.69
	(2,540.07)	(2,559.43)	(2,702.62)	(2,459.73)
dononce	-1,202.70	-538.15	-162.60	-1,089.62
	(1,496.81)	(1,857.40)	(1,709.95)	(1,441.98)
donmany	-1,040.78	-359.24	538.56	-1,505.54
	(1,555.94)	(1,931.92)	(1,599.36)	(1,817.78)
matched_pscore			2,064.03	
			(6,688.89)	
Constant	4,035.44	5,277.63	4,992.88	10,597.74***
	(3,473.59)	(3,898.44)	(5,442.13)	(4,009.32)
				
Observations	236	158	203	203
R-squared	0.36	0.42	0.33	0.33
Adjusted R-squared	0.30	0.33	0.25	0.25
Socio-economics	0.00	0.00	0.00	0.00
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
