	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Internal	Social	Money	Fines	External LoC	Amotivation
						
group_2	-0.01	0.31*	0.04	-0.06	0.10	-0.09
	(0.07)	(0.16)	(0.12)	(0.21)	(0.26)	(0.09)
group_3	-0.02	0.01	0.30**	-0.18	-0.15	-0.13
	(0.09)	(0.17)	(0.14)	(0.21)	(0.25)	(0.10)
female	0.09	-0.28	-0.12	-0.23	-0.42*	0.04
	(0.07)	(0.18)	(0.11)	(0.22)	(0.22)	(0.10)
id_age	0.01*	-0.00	-0.00	-0.01	0.01	-0.00
	(0.00)	(0.01)	(0.00)	(0.01)	(0.01)	(0.00)
max_primary	-0.22	-0.01	0.47*	0.51*	-0.10	0.32
	(0.17)	(0.26)	(0.25)	(0.27)	(0.31)	(0.24)
income_hh_ppp	-0.00	0.00	0.00	-0.00	0.00	-0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
farms_n	-0.06*	-0.03	0.02	-0.03	-0.10	-0.02
	(0.03)	(0.05)	(0.04)	(0.06)	(0.09)	(0.02)
land_size	-0.00	-0.00**	0.00	0.00	-0.00	0.00
	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)	(0.00)
residence_farm	0.08	-0.06	-0.16	0.09	0.56**	-0.09
	(0.10)	(0.18)	(0.14)	(0.21)	(0.22)	(0.12)
trust_people	-0.02	-0.11*	0.04	-0.06	-0.09	0.02
	(0.02)	(0.06)	(0.04)	(0.10)	(0.11)	(0.03)
trust_townpeople	0.03	0.17***	-0.04	0.19**	-0.07	-0.03
	(0.03)	(0.06)	(0.05)	(0.09)	(0.10)	(0.04)
trust_familiy	0.04	-0.04	-0.03	0.17**	0.08	-0.05
	(0.05)	(0.07)	(0.07)	(0.07)	(0.09)	(0.06)
civicorg_d	-0.01	-0.23	0.09	0.01	-0.20	0.00
	(0.08)	(0.19)	(0.15)	(0.26)	(0.31)	(0.08)
pruductiveorg_d	0.07	0.21	0.01	0.40*	-0.03	-0.05
	(0.07)	(0.16)	(0.12)	(0.22)	(0.30)	(0.06)
polspace	-0.03	-0.03	0.07	-0.12	-0.07	0.02
	(0.04)	(0.09)	(0.06)	(0.09)	(0.11)	(0.06)
never_collective	-0.19**	-0.14	0.16	0.52***	-0.02	0.11
	(0.09)	(0.17)	(0.13)	(0.20)	(0.28)	(0.10)
Constant	3.67***	3.56***	1.11***	1.24**	2.00***	1.28***
	(0.29)	(0.53)	(0.42)	(0.59)	(0.72)	(0.37)
						
Observations	236	236	236	236	236	236
R-squared	0.17	0.15	0.16	0.31	0.16	0.17
Adjusted R-squared	0.112	0.087	0.097	0.256	0.096	0.106
Socio-economics	0.218	0.359	0.548	0.003	0.009	0.536
Trust & Involvement	0.133	0.020	0.899	0.010	0.268	0.864
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
