	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount	Donation Amount
									
group_2	909.11	2,039.59	1,570.06	2,804.59	640.84	-1,409.52	1,879.35	1,811.58	271.20
	(1,163.64)	(1,801.34)	(1,862.09)	(4,369.67)	(1,360.00)	(2,675.27)	(1,583.77)	(2,078.02)	(1,735.69)
group_3	3,423.68***	5,119.88***	1,026.98	9,713.36**	1,542.32	5,278.96**	1,888.31	7,138.83***	-153.84
	(1,160.44)	(1,941.45)	(1,954.32)	(3,944.98)	(1,375.41)	(2,396.66)	(1,494.32)	(2,105.77)	(1,662.01)
female	-52.87	1,712.16	428.80			-1,279.56	1,254.92	-204.95	1,133.66
	(1,278.30)	(1,910.46)	(2,086.37)			(2,328.23)	(1,726.35)	(2,177.75)	(1,679.96)
id_age	-60.06	-95.04	13.25	33.96	-106.97**	31.67	-34.52	-43.08	-89.26*
	(36.82)	(61.50)	(49.71)	(118.35)	(47.81)	(90.43)	(85.11)	(59.27)	(51.59)
max_primary	-1,172.53	-293.22	-1,448.01	-3,835.57	530.08	-1,834.51	-81.44	-3,279.80	2,152.26
	(1,270.03)	(2,111.96)	(2,117.69)	(2,453.28)	(1,609.12)	(2,266.95)	(1,895.14)	(2,019.92)	(1,700.04)
income_hh_ppp	1.12***	0.82***	4.27	1.20**	1.22***	1.09**	1.18***	0.85***	1.98
	(0.25)	(0.27)	(5.87)	(0.46)	(0.37)	(0.50)	(0.44)	(0.27)	(1.22)
farms_n	152.66	266.22	-477.80	-2,034.96	280.23	-620.31	681.58	89.90	241.58
	(502.89)	(813.88)	(1,088.13)	(1,861.32)	(642.28)	(749.24)	(820.82)	(765.48)	(919.51)
land_size	9.46*	4.58	53.16	39.64	7.42	14.52	-2.66	16.35	4.92
	(5.06)	(15.22)	(73.99)	(89.84)	(5.31)	(8.87)	(18.91)	(18.11)	(25.83)
residence_farm	133.92	609.97	2,283.21	3,680.96	-199.42	-994.39	283.89		
	(1,154.32)	(1,725.36)	(2,141.49)	(4,355.72)	(1,306.31)	(2,216.80)	(1,528.07)		
trust_people	271.33	-40.26	50.88	-721.08	737.78	571.65	291.44	-215.53	512.84
	(533.16)	(984.98)	(573.37)	(1,373.41)	(600.67)	(1,107.38)	(557.57)	(931.85)	(636.02)
trust_townpeople	63.91	977.55	-367.17	843.00	-406.88	-137.80	15.35	757.97	-677.25
	(529.04)	(897.08)	(583.47)	(1,212.29)	(614.45)	(1,031.79)	(598.54)	(868.92)	(605.87)
trust_familiy	-117.45	439.07	-398.45	190.69	11.88	838.32	-598.13	-296.35	127.32
	(348.26)	(555.95)	(518.60)	(924.59)	(428.17)	(719.37)	(517.69)	(684.26)	(475.81)
civicorg_d	-2,310.79*	-2,699.14	-4,323.46*	-4,848.37	-2,281.36*	-1,997.36	-2,444.00	-4,394.36*	-2,550.39
	(1,203.10)	(1,990.39)	(2,371.91)	(5,050.63)	(1,234.34)	(2,939.95)	(1,630.22)	(2,349.07)	(1,724.01)
pruductiveorg_d	1,689.92	3,403.12*	1,888.72	-3,859.13	2,249.43	2,749.20	1,429.76	3,467.31	2,083.18
